Latitude, Longitude
-688.439;-6.632.794
-253.632;-6.552.115
-256.818;-6.574.002
-268.775;-6.489.165
-302.828;-6.493.331
-302.986;-6.493.799
-305.307;-6.522.365
-30.568;-6.522.788
-305.714;-6.525.316
-306.865;-6.489.217
-349.778;-6.501.883
-349.973;-6.504.099
-350.198;-6.504.765
-931.885;-6.552.883
-344.131;-6.440.555
-621.208;-6.273.364
-621.494;-6.275.491
-808.139;-6.129.094
-815.585;-6.121.575
-81.614;-6.120.235
-816.378;-6.121.967
-831.414;-6.156.025
-831.642;-6.155.294
-831.883;-6.157.159
-833.131;-6.156.989
-727.105;-6.117.072
-574.418;-6.139.819
-57.464;-614.145
-70.532;-592.621
-530.692;-6.014.946
-540.873;-6.006.284
-64.328;-6.007.985
-644.353;-6.007.839
-644.542;-6.009.174
-644.747;-6.007.106
-644.927;-6.008.449
-220.359;-5.884.446
-276.254;-5.837.502
-296.148;-5.911.824
-310.798;-5.859.269
-313.372;-5.852.263
-340.945;-5.953.086
-35.762;-5.859.896
-369.752;-5.833.531
-374.289;-5.788.796
-374.961;-5.780.468
-375.093;-5.781.395
-38.952;-5.824.956
-389.657;-582.592
-326.423;-5.808.275
-326.558;-5.809.212
-611.283;-6.253.393
-845.783;-6.405.867
-830.575;-6.402.676
-829.663;-6.402.816
-815.989;-6.386.056
-474.827;-6.367.317
-473.863;-6.367.461
-732.932;-6.466.201
-732.136;-6.466.895
-732.002;-6.465.978
-731.103;-6.466.115
-679.178;-6.433.356
-679.039;-6.432.412
-678.266;-6.433.495
-678.127;-6.432.552
-926.408;-6.552.858
-926.279;-6.551.966
-924.415;-65.641
-912.365;-6.557.429
-825.819;-6.408.232
-825.677;-6.407.288
-319.894;-6.790.677
-310.887;-67.982
-292.169;-6.783.412
-290.379;-686.647
-282.764;-6.776.153
170.215;-694.017
-17.657;-6.890.279
-320.495;-6.924.328
-320.347;-6.923.277
0.31643;-6.997.574
-724.401;-7.270.996
-321.865;-6.487.589
-321.722;-648.663
-308.447;-6.489.826
-302.007;-651.566
-294.586;-6.521.178
-25.169;-6.537.306
-692.391;-6.629.857
-692.263;-6.628.967
-913.867;-6.606.302
-912.976;-6.606.435
-912.214;-6.607.468
-912.085;-6.606.564
-911.538;-6.590.096
-911.409;-6.589.197
